Date,Trading_Total_Stock_Amount,Trading_Total_Price,Open,High,Low,Close,Price_Dif,Number_Of_Transactions
111/01/03,"7,574,367","8,840,518,430","1,205.00","1,215.00","1,145.00","1,150.00",-40.00,"11,087"
111/01/04,"6,761,854","7,830,403,615","1,165.00","1,175.00","1,145.00","1,165.00",+15.00,"7,181"
111/01/05,"7,170,388","8,393,883,150","1,170.00","1,190.00","1,150.00","1,175.00",+10.00,"6,683"
111/01/06,"8,411,284","9,514,641,165","1,150.00","1,155.00","1,110.00","1,135.00",-40.00,"15,403"
111/01/07,"8,690,396","9,587,680,095","1,130.00","1,145.00","1,090.00","1,100.00",-35.00,"11,455"
111/01/10,"7,452,615","8,071,954,585","1,080.00","1,095.00","1,070.00","1,095.00",-5.00,"8,492"
111/01/11,"4,807,940","5,188,806,882","1,090.00","1,095.00","1,065.00","1,080.00",-15.00,"7,070"
111/01/12,"3,084,290","3,337,695,090","1,095.00","1,095.00","1,070.00","1,085.00",+5.00,"4,646"
111/01/13,"5,091,825","5,575,476,675","1,090.00","1,110.00","1,085.00","1,100.00",+15.00,"4,939"
111/01/14,"5,753,681","6,152,838,075","1,090.00","1,090.00","1,055.00","1,065.00",-35.00,"9,562"
111/01/17,"5,568,468","6,138,222,990","1,075.00","1,120.00","1,070.00","1,115.00",+50.00,"6,695"
111/01/18,"4,961,195","5,567,673,225","1,110.00","1,145.00","1,105.00","1,105.00",-10.00,"7,153"
111/01/19,"4,814,508","5,303,526,290","1,095.00","1,120.00","1,090.00","1,100.00",-5.00,"5,568"
111/01/20,"5,412,066","5,889,630,068","1,105.00","1,110.00","1,070.00","1,090.00",-10.00,"5,733"
111/01/21,"6,033,179","6,440,155,680","1,060.00","1,080.00","1,055.00","1,070.00",-20.00,"9,424"
111/01/24,"5,104,728","5,488,571,390","1,060.00","1,090.00","1,050.00","1,090.00",+20.00,"5,903"
111/01/25,"4,536,083","4,890,268,620","1,080.00","1,090.00","1,070.00","1,085.00",-5.00,"5,935"
111/01/26,"5,220,488","5,645,971,650","1,070.00","1,095.00","1,070.00","1,075.00",-10.00,"5,741"
111/02/07,"18,948,207","20,946,255,115","1,130.00","1,130.00","1,075.00","1,100.00",+25.00,"13,780"
111/02/08,"9,138,912","10,074,534,000","1,125.00","1,125.00","1,090.00","1,095.00",-5.00,"7,486"
111/02/09,"8,215,520","9,159,485,405","1,125.00","1,135.00","1,095.00","1,130.00",+35.00,"7,689"
