Date,Trading_Total_Stock_Amount,Trading_Total_Price,Open,High,Low,Close,Price_Dif,Number_Of_Transactions
111/01/03,"15,609,815","1,180,736,529",76.50,76.60,75.00,75.30,-1.00,"10,658"
111/01/04,"12,249,044","923,135,379",75.60,75.80,75.10,75.30, 0.00,"5,979"
111/01/05,"12,908,237","973,481,801",75.20,75.90,75.00,75.70,+0.40,"5,811"
111/01/06,"16,599,654","1,254,804,433",75.70,75.90,75.20,75.90,+0.20,"6,995"
111/01/07,"23,357,665","1,775,590,754",75.90,76.60,75.70,75.70,-0.20,"9,176"
111/01/10,"14,841,602","1,129,819,251",75.80,76.40,75.50,76.40,+0.70,"7,127"
111/01/11,"80,209,890","6,293,582,240",76.80,79.90,76.40,79.90,+3.50,"35,881"
111/01/12,"41,020,127","3,270,566,323",79.90,80.40,78.80,80.00,+0.10,"25,726"
111/01/13,"54,512,508","4,409,680,749",79.70,81.80,79.60,81.60,+1.60,"36,302"
111/01/14,"38,469,666","3,096,796,357",81.20,81.90,79.70,80.40,-1.20,"30,661"
111/01/17,"29,768,461","2,353,409,325",80.00,80.00,78.60,78.90,-1.50,"21,171"
111/01/18,"16,567,494","1,316,815,108",79.40,80.00,78.80,79.40,+0.50,"8,626"
111/01/19,"16,198,957","1,280,023,231",78.90,79.50,78.70,78.80,-0.60,"11,100"
111/01/20,"19,501,841","1,526,037,501",78.70,78.80,77.70,78.30,-0.50,"10,779"
111/01/21,"33,297,980","2,560,133,727",77.50,77.70,76.50,76.70,-1.60,"20,293"
111/01/24,"26,227,975","1,994,156,661",76.30,76.60,75.40,76.50,-0.20,"13,326"
111/01/25,"40,092,387","3,023,275,014",75.70,76.30,75.00,75.50,-1.00,"22,144"
111/01/26,"19,022,908","1,437,848,793",75.20,75.90,75.00,75.60,+0.10,"10,446"
111/02/07,"28,501,647","2,178,182,237",75.30,77.30,75.20,77.10,+1.50,"15,985"
111/02/08,"18,973,099","1,459,307,367",77.10,77.40,76.20,76.80,-0.30,"11,276"
111/02/09,"17,812,111","1,368,679,293",77.00,77.10,76.30,77.10,+0.30,"10,472"
111/02/10,"15,114,725","1,164,380,441",77.10,77.40,76.80,77.40,+0.30,"6,951"
111/02/11,"13,837,969","1,066,095,048",76.80,77.30,76.70,77.30,-0.10,"7,901"
111/02/14,"15,545,657","1,184,351,466",76.50,76.50,76.00,76.10,-1.20,"10,792"
111/02/15,"19,249,323","1,482,783,949",77.10,77.50,76.60,76.60,+0.50,"12,138"
111/02/16,"19,501,392","1,510,782,979",77.40,77.80,76.90,77.80,+1.20,"12,394"
111/02/17,"22,810,316","1,785,268,640",77.90,78.70,77.60,78.20,+0.40,"10,375"
111/02/18,"10,496,797","817,109,765",77.60,78.10,77.40,77.80,-0.40,"9,197"
111/02/21,"10,775,832","833,496,248",77.30,77.60,77.00,77.60,-0.20,"5,765"
111/02/22,"24,963,567","1,907,947,539",77.00,77.20,76.00,76.50,-1.10,"15,304"
111/02/23,"13,505,985","1,033,386,511",76.40,76.90,76.10,76.50, 0.00,"6,189"
111/02/24,"36,445,726","2,762,924,990",76.00,76.20,75.20,75.90,-0.60,"18,417"
111/02/25,"48,122,294","3,610,586,516",75.50,75.80,74.50,75.10,-0.80,"21,814"
111/03/01,"26,613,173","2,011,803,946",74.40,76.30,74.40,76.20,+1.10,"11,812"
111/03/02,"17,748,831","1,340,599,473",75.70,75.90,75.20,75.60,-0.60,"9,931"
111/03/03,"9,856,370","746,223,992",75.60,76.00,75.50,75.60, 0.00,"5,432"
111/03/04,"32,217,662","2,402,805,943",74.90,75.00,74.30,74.40,-1.20,"20,234"
111/03/07,"54,845,619","3,951,818,304",73.20,73.50,71.50,71.70,-2.70,"40,273"
111/03/08,"51,320,587","3,614,519,176",70.40,71.30,70.00,70.60,-1.10,"33,304"
111/03/09,"23,491,587","1,688,357,194",71.80,72.50,71.40,71.70,+1.10,"16,409"
111/03/10,"23,678,566","1,743,161,816",72.80,74.00,72.50,73.80,+2.10,"14,636"
111/03/11,"15,976,718","1,166,280,898",73.50,73.70,72.70,72.70,-1.10,"13,640"
111/03/14,"18,585,449","1,359,118,111",73.60,73.80,72.70,72.70, 0.00,"10,310"
111/03/15,"15,360,893","1,112,966,647",72.80,72.90,72.10,72.70, 0.00,"11,593"
111/03/16,"14,303,345","1,043,624,747",73.00,73.40,72.60,73.10,+0.40,"7,444"
111/03/17,"22,006,020","1,640,358,763",74.20,75.00,73.90,74.80,+1.70,"11,252"
111/03/18,"28,435,959","2,121,966,261",75.00,75.60,74.20,74.30,-0.50,"12,711"
111/03/21,"16,594,866","1,230,866,481",74.60,74.90,73.60,74.30, 0.00,"12,704"
111/03/22,"16,684,882","1,233,398,179",73.80,74.40,73.50,74.30, 0.00,"12,058"
111/03/23,"27,515,067","2,086,335,844",74.60,76.30,74.60,75.90,+1.60,"14,002"
111/03/24,"20,323,484","1,527,354,195",75.80,75.80,74.60,75.50,-0.40,"12,409"
111/03/25,"11,598,756","870,926,099",75.10,75.50,75.00,75.00,-0.50,"7,322"
