0,1,2,3,4,5,6,7,8
111/01/03,"18,337,829","1,138,694,444",62.80,62.90,61.60,61.60,-0.90,"10,704"
111/01/04,"15,594,316","962,635,526",61.60,62.00,61.50,62.00,+0.40,"11,228"
111/01/05,"15,353,088","947,155,503",61.60,62.00,61.30,61.90,-0.10,"5,755"
111/01/06,"16,290,258","1,007,777,653",61.90,62.30,61.40,62.00,+0.10,"5,325"
111/01/07,"20,786,629","1,290,525,701",62.00,62.50,61.80,62.00, 0.00,"6,651"
111/01/10,"12,133,800","752,539,601",62.00,62.30,61.70,62.10,+0.10,"4,580"
111/01/11,"98,029,871","6,243,160,374",62.50,64.90,62.10,64.50,+2.40,"32,000"
111/01/12,"49,410,447","3,188,401,671",64.40,65.00,63.80,64.70,+0.20,"20,624"
111/01/13,"101,478,268","6,727,057,603",64.70,67.80,64.50,67.40,+2.70,"41,542"
111/01/14,"78,064,274","5,269,150,372",67.00,68.40,66.50,67.70,+0.30,"32,964"
111/01/17,"37,990,521","2,543,392,735",67.30,68.00,66.50,66.50,-1.20,"26,460"
111/01/18,"32,541,808","2,170,435,726",66.60,67.20,66.20,66.90,+0.40,"12,206"
111/01/19,"39,311,537","2,597,639,413",66.40,66.50,65.60,66.10,-0.80,"17,831"
111/01/20,"34,505,107","2,262,014,732",65.60,66.10,65.00,65.80,-0.30,"12,598"
111/01/21,"43,180,251","2,792,496,746",65.20,65.30,64.20,64.40,-1.40,"18,837"
111/01/24,"31,284,378","2,006,270,485",64.00,64.60,63.40,64.30,-0.10,"9,961"
111/01/25,"59,105,302","3,719,471,648",63.60,63.70,62.40,63.00,-1.30,"22,333"
111/01/26,"22,242,796","1,409,128,051",63.00,63.70,62.80,63.30,+0.30,"11,100"
111/02/07,"46,345,940","3,012,011,294",63.80,65.80,63.80,65.70,+2.40,"19,158"
111/02/08,"32,178,792","2,124,003,944",65.50,66.50,65.10,66.00,+0.30,"12,436"
111/02/09,"20,488,760","1,351,947,878",66.40,66.40,65.60,66.00, 0.00,"9,874"
111/02/10,"19,192,094","1,255,733,344",65.90,65.90,65.10,65.80,-0.20,"13,048"
111/02/11,"13,423,086","878,035,703",65.40,65.70,65.20,65.60,-0.20,"8,606"
111/02/14,"34,773,916","2,225,675,695",64.50,64.50,63.60,64.20,-1.40,"16,614"
111/02/15,"20,361,629","1,313,635,535",64.60,64.90,64.20,64.30,+0.10,"13,124"
111/02/16,"19,651,434","1,269,144,193",64.80,64.80,64.20,64.80,+0.50,"9,843"
111/02/17,"22,349,109","1,445,481,337",64.70,65.00,64.30,64.70,-0.10,"8,061"
111/02/18,"17,951,412","1,155,482,355",64.10,64.60,64.10,64.60,-0.10,"7,547"
111/02/21,"14,322,671","921,283,177",64.30,64.70,64.00,64.60, 0.00,"5,520"
111/02/22,"27,224,056","1,731,768,267",64.00,64.20,63.20,63.70,-0.90,"12,924"
111/02/23,"15,428,674","983,090,046",63.50,64.00,63.40,63.70, 0.00,"6,145"
111/02/24,"39,918,582","2,514,673,064",63.20,63.50,62.50,63.00,-0.70,"16,170"
111/02/25,"57,731,651","3,591,396,744",62.70,63.00,61.60,62.30,-0.70,"21,301"
111/03/01,"25,902,917","1,611,595,335",61.70,62.70,61.50,62.60,+0.30,"9,804"
111/03/02,"18,856,628","1,168,490,086",62.10,62.20,61.80,62.00,-0.60,"8,885"
111/03/03,"13,494,434","838,092,454",62.30,62.50,62.00,62.10,+0.10,"6,206"
111/03/04,"22,375,501","1,373,740,843",61.80,61.80,61.20,61.20,-0.90,"11,534"
111/03/07,"52,085,088","3,088,045,680",60.40,60.50,58.80,59.40,-1.80,"25,960"
111/03/08,"51,970,716","3,033,149,591",58.20,58.80,58.00,58.50,-0.90,"22,906"
111/03/09,"18,361,063","1,083,953,551",59.00,59.40,58.60,59.00,+0.50,"11,459"
111/03/10,"22,169,794","1,332,459,912",59.50,60.50,59.50,60.30,+1.30,"11,285"
111/03/11,"12,249,752","738,733,829",60.20,60.60,59.90,60.30, 0.00,"6,775"
111/03/14,"14,539,303","888,375,356",60.70,61.50,60.60,61.20,+0.90,"5,717"
111/03/15,"16,334,901","999,369,129",61.30,61.50,60.90,61.30,+0.10,"5,993"
111/03/16,"22,127,986","1,365,710,975",61.70,62.00,61.40,62.00,+0.70,"8,076"
111/03/17,"35,516,192","2,233,886,318",62.50,63.20,62.40,63.10,+1.10,"12,616"
111/03/18,"28,333,290","1,794,971,070",63.40,63.80,63.10,63.30,+0.20,"6,489"
111/03/21,"16,831,198","1,068,048,371",63.30,63.80,63.20,63.60,+0.30,"5,822"
111/03/22,"11,624,036","737,187,377",63.60,63.60,63.10,63.60, 0.00,"4,490"
111/03/23,"28,231,947","1,826,321,793",64.10,65.00,64.00,64.80,+1.20,"11,093"
111/03/24,"17,577,999","1,123,722,245",64.30,64.40,63.60,64.30,-0.50,"8,076"
111/03/25,"11,197,434","710,908,063",63.80,64.00,63.50,63.50,-0.80,"5,693"
111/03/28,"9,825,309","620,165,942",62.80,63.70,62.60,63.30,-0.20,"6,266"
111/03/29,"8,987,469","572,482,635",63.50,63.90,63.30,63.80,+0.50,"3,999"
111/03/30,"81,539,261","5,249,585,766",64.10,64.50,64.00,64.40,+0.60,"6,266"
111/03/31,"15,100,025","974,339,447",64.50,64.70,64.20,64.50,+0.10,"4,915"
111/04/01,"16,332,402","1,057,273,144",64.00,65.00,63.80,65.00,+0.50,"6,221"
111/04/06,"24,653,539","1,603,929,558",65.10,65.50,64.50,65.50,+0.50,"10,699"
111/04/07,"26,644,279","1,733,799,781",65.30,65.70,64.50,64.80,-0.70,"9,131"
111/04/08,"13,904,404","900,640,659",65.00,65.10,64.50,65.00,+0.20,"5,679"
111/04/11,"15,030,684","975,313,398",65.30,65.70,64.10,64.80,-0.20,"6,354"
111/04/12,"13,691,057","885,877,196",64.80,65.00,64.30,64.90,+0.10,"4,939"
111/04/13,"16,481,852","1,076,534,947",65.30,65.50,65.00,65.40,+0.50,"5,517"
111/04/14,"10,803,178","701,479,322",65.40,65.50,64.70,64.70,-0.70,"4,081"
111/04/15,"12,805,902","820,823,995",64.40,64.50,63.80,64.00,-0.70,"8,040"
111/04/18,"13,739,061","866,215,188",63.70,63.80,62.50,62.80,-1.20,"7,314"
111/04/19,"13,759,764","868,861,564",63.20,63.90,62.70,62.70,-0.10,"5,920"
111/04/20,"17,460,595","1,108,139,088",63.20,63.90,62.80,63.90,+1.20,"4,833"
111/04/21,"15,635,775","994,020,025",63.70,63.90,63.10,63.90, 0.00,"3,721"
111/04/22,"18,905,312","1,203,441,949",63.20,64.20,63.10,64.20,+0.30,"6,857"
111/04/25,"21,769,353","1,378,389,920",63.50,63.80,62.90,63.80,-0.40,"7,504"
111/04/26,"13,993,477","893,068,317",63.40,64.00,63.40,64.00,+0.20,"6,018"
111/04/27,"21,399,844","1,336,063,828",63.00,63.20,62.00,62.00,-2.00,"11,336"
