Date,Trading_Total_Stock_Amount,Trading_Total_Price,Open,High,Low,Close,Price_Dif,Number_Of_Transactions
111/01/03,"120,579,321","7,703,650,583",65.20,65.50,63.20,63.40,-1.60,"53,695"
111/01/04,"113,869,488","7,199,967,522",63.50,64.00,62.80,63.00,-0.40,"48,968"
111/01/05,"83,199,424","5,269,138,715",63.00,64.00,62.70,63.10,+0.10,"35,367"
111/01/06,"80,954,633","5,065,137,992",62.50,62.90,62.40,62.70,-0.40,"38,516"
111/01/07,"99,406,218","6,249,676,446",63.70,63.70,62.50,62.60,-0.10,"40,236"
111/01/10,"96,153,356","5,967,864,106",62.00,62.50,61.80,62.10,-0.50,"41,817"
111/01/11,"44,373,034","2,758,117,283",62.30,62.50,61.90,62.10, 0.00,"20,115"
111/01/12,"74,326,930","4,617,740,586",62.70,62.80,61.80,61.90,-0.20,"32,024"
111/01/13,"115,987,854","7,308,096,525",62.10,63.60,62.10,63.30,+1.40,"47,782"
111/01/14,"92,692,964","5,814,297,368",63.50,63.50,62.20,62.70,-0.60,"40,502"
111/01/17,"155,223,136","9,905,586,991",63.10,64.40,63.00,64.30,+1.60,"58,200"
111/01/18,"97,361,618","6,266,004,521",64.50,64.90,63.80,63.80,-0.50,"42,747"
111/01/19,"75,426,320","4,754,340,700",63.00,63.50,62.80,62.80,-1.00,"36,420"
111/01/20,"62,252,029","3,935,702,373",62.90,63.80,62.50,63.50,+0.70,"24,116"
111/01/21,"84,304,314","5,298,432,673",62.70,63.30,62.60,62.80,-0.70,"36,686"
111/01/24,"105,175,064","6,530,463,850",62.30,62.80,61.20,62.60,-0.20,"46,910"
111/01/25,"128,936,775","7,958,973,785",61.80,62.20,61.50,61.50,-1.10,"54,791"
111/01/26,"402,133,363","23,148,847,286",56.40,58.50,56.10,57.30,-4.20,"186,194"
111/02/07,"304,373,205","16,752,435,915",56.90,57.00,53.70,54.50,-2.80,"131,764"
111/02/08,"146,741,680","8,086,859,522",54.60,55.90,54.60,55.40,+0.90,"69,929"
111/02/09,"104,595,015","5,868,986,383",56.30,56.80,55.70,56.00,+0.60,"45,738"
111/02/10,"114,341,052","6,383,450,556",57.00,57.00,55.10,55.80,-0.20,"46,148"
111/02/11,"84,972,540","4,720,107,500",55.50,56.00,55.00,55.40,-0.40,"38,526"
111/02/14,"160,543,749","8,570,961,013",54.00,54.10,53.00,53.00,-2.40,"87,569"
111/02/15,"100,850,321","5,416,903,004",53.00,54.30,53.00,53.50,+0.50,"44,846"
111/02/16,"90,864,952","4,943,200,380",54.60,54.90,54.10,54.10,+0.60,"41,861"
111/02/17,"68,310,921","3,727,481,094",54.70,55.00,54.10,54.40,+0.30,"29,160"
111/02/18,"82,216,592","4,413,618,054",53.80,54.00,53.50,53.70,-0.70,"41,252"
111/02/21,"77,342,367","4,157,897,262",53.30,54.40,53.00,53.80,+0.10,"34,355"
111/02/22,"112,741,123","5,962,656,701",53.20,53.40,52.30,52.80,-1.00,"56,585"
111/02/23,"56,448,462","3,003,144,935",52.90,53.60,52.90,53.60,+0.80,"28,554"
111/02/24,"106,503,907","5,568,641,316",52.80,53.20,51.70,51.80,-1.80,"57,541"
111/02/25,"109,311,186","5,735,541,360",53.00,53.30,52.00,52.10,+0.30,"48,740"
111/03/01,"117,494,374","6,321,681,135",53.00,54.50,52.50,54.10,+2.00,"45,205"
111/03/02,"58,016,597","3,102,969,984",53.20,53.90,53.10,53.60,-0.50,"30,333"
111/03/03,"51,713,681","2,800,451,635",54.20,54.50,53.80,54.20,+0.60,"24,275"
111/03/04,"45,582,895","2,436,581,284",53.30,53.80,53.20,53.40,-0.80,"28,947"
