Date,Trading_Total_Stock_Amount,Trading_Total_Price,Open,High,Low,Close,Price_Dif,Number_Of_Transactions
111/01/03,"1,054,570","101,279,248",95.90,96.80,95.80,95.80,-0.10,820
111/01/04,"1,439,347","138,022,692",95.40,96.40,95.30,96.10,+0.30,870
111/01/05,"1,590,332","152,742,685",95.50,96.60,95.50,96.20,+0.10,996
111/01/06,"2,593,255","251,642,098",96.90,97.90,96.30,97.30,+1.10,"1,625"
111/01/07,"1,969,438","192,169,014",97.80,98.10,97.30,97.30, 0.00,"2,175"
111/01/10,"1,267,218","123,500,791",97.30,97.80,96.50,97.80,+0.50,932
111/01/11,"2,813,699","275,268,966",97.00,98.50,96.80,98.40,+0.60,"2,096"
111/01/12,"2,232,806","220,995,210",98.90,99.40,98.30,99.40,+1.00,"1,870"
111/01/13,"2,349,373","235,562,434",99.60,100.50,99.50,100.50,+1.10,"1,779"
111/01/14,"2,311,204","227,716,300",99.30,99.50,98.00,98.50,-2.00,"3,135"
111/01/17,"1,851,536","180,533,462",97.90,98.10,97.20,97.30,-1.20,"3,086"
111/01/18,"1,464,390","143,569,470",97.30,98.70,97.30,98.00,+0.70,"1,266"
111/01/19,"2,543,407","249,396,421",98.00,98.80,97.30,98.20,+0.20,"3,084"
111/01/20,"1,380,418","135,750,637",98.00,98.80,97.80,98.10,-0.10,"1,198"
111/01/21,"2,450,774","237,171,448",97.50,98.10,96.20,96.70,-1.40,"1,865"
111/01/24,"1,645,507","160,859,946",96.70,98.20,96.30,98.00,+1.30,"1,024"
111/01/25,"4,494,313","429,546,711",96.40,97.80,95.10,95.60,-2.40,"3,240"
111/01/26,"1,526,651","147,193,074",95.90,96.70,95.70,96.10,+0.50,"1,965"
111/02/07,"3,791,603","368,881,276",95.70,98.50,95.50,97.80,+1.70,"2,386"
111/02/08,"1,772,718","173,888,043",97.20,98.50,97.20,98.00,+0.20,"1,575"
111/02/09,"2,825,207","277,037,665",97.50,99.00,96.50,98.90,+0.90,"2,369"
111/02/10,"1,676,454","165,222,522",98.00,99.00,98.00,98.50,-0.40,"1,087"
111/02/11,"2,757,263","273,050,937",97.70,99.90,97.70,98.70,+0.20,"1,947"
111/02/14,"4,737,355","473,005,078",101.00,102.00,98.60,98.90,+0.20,"3,624"
111/02/15,"2,866,347","282,303,022",99.40,99.50,97.70,97.90,-1.00,"2,535"
111/02/16,"3,578,285","351,160,809",97.60,99.50,97.00,98.60,+0.70,"3,053"
111/02/17,"3,305,465","328,922,680",98.80,100.50,98.60,99.50,+0.90,"2,057"
111/02/18,"1,279,853","126,479,394",98.80,99.50,98.50,98.50,-1.00,"1,179"
111/02/21,"1,473,835","144,442,680",97.80,98.40,97.40,98.00,-0.50,"1,006"
111/02/22,"5,606,665","540,051,827",97.60,98.50,95.90,96.10,-1.90,"3,510"
111/02/23,"974,584","94,486,402",96.60,97.30,96.60,97.30,+1.20,"1,159"
111/02/24,"4,169,816","402,046,109",97.20,97.20,96.00,96.90,-0.40,"2,622"
111/02/25,"3,976,699","386,627,551",97.30,97.90,96.10,97.80,+0.90,"2,967"
111/03/01,"5,624,632","561,913,378",99.10,100.50,98.80,100.00,+2.20,"3,306"
111/03/02,"4,901,070","496,570,214",101.50,102.50,100.50,100.50,+0.50,"3,022"
111/03/03,"4,483,167","453,329,543",102.00,102.50,100.50,101.50,+1.00,"2,466"
111/03/04,"3,953,217","397,011,049",100.50,101.00,99.80,100.50,-1.00,"2,243"
111/03/07,"12,300,130","1,250,066,152",102.50,103.50,100.00,100.50, 0.00,"7,025"
111/03/08,"6,688,740","664,382,311",101.50,102.00,98.20,99.20,-1.30,"4,173"
111/03/09,"5,360,289","535,685,311",100.50,101.00,99.10,100.00,+0.80,"2,585"
111/03/10,"6,622,778","652,143,391",98.50,99.40,97.70,98.00,-2.00,"4,234"
111/03/11,"6,525,832","626,474,492",97.60,97.60,95.50,95.70,-2.30,"4,720"
111/03/14,"5,484,787","519,994,814",95.90,95.90,94.20,95.20,-0.50,"3,667"
111/03/15,"4,115,239","386,598,193",95.20,95.30,93.50,93.60,-1.60,"2,987"
111/03/16,"4,948,145","462,695,108",93.60,94.90,92.50,94.90,+1.30,"3,640"
111/03/17,"5,221,901","499,072,001",95.80,96.00,95.00,96.00,+1.10,"3,028"
111/03/18,"4,232,030","405,866,649",96.00,96.80,95.50,95.70,-0.30,"1,404"
111/03/21,"1,405,603","134,553,158",96.00,96.20,95.20,95.60,-0.10,"1,022"
111/03/22,"2,030,761","195,204,688",96.20,96.50,95.80,96.10,+0.50,"1,391"
111/03/23,"2,894,015","278,704,001",96.10,97.00,95.90,96.20,+0.10,"1,868"
111/03/24,"1,835,997","175,533,672",95.70,96.20,95.20,95.40,-0.80,"1,686"
111/03/25,"2,367,608","226,022,626",94.80,96.20,94.70,96.20,+0.80,"1,162"
111/03/28,"2,880,717","272,847,083",94.60,95.20,94.30,95.10,-1.10,"1,947"
111/03/29,"2,152,907","204,185,737",95.00,95.30,94.40,94.70,-0.40,"1,831"
111/03/30,"3,431,957","326,196,693",94.70,95.70,94.20,95.10,+0.40,"2,172"
111/03/31,"3,026,399","287,032,826",95.50,95.70,94.30,94.30,-0.80,"1,570"
111/04/01,"1,636,597","154,129,998",94.00,94.80,93.60,94.50,+0.20,944
111/04/06,"3,951,200","371,903,255",93.40,95.50,93.00,95.50,+1.00,"2,275"
111/04/07,"3,424,250","321,342,984",94.10,94.50,93.50,93.60,-1.90,"2,353"
111/04/08,"1,477,193","138,970,927",94.10,94.50,93.30,94.40,+0.80,774
111/04/11,"2,772,634","258,407,306",94.30,94.70,92.60,93.30,-1.10,"2,813"
111/04/12,"1,509,424","139,935,720",93.20,93.20,92.50,92.80,-0.50,"2,082"
111/04/13,"2,325,561","217,847,865",93.70,94.20,93.00,94.00,+1.20,"2,535"
111/04/14,"1,534,885","143,366,749",94.00,94.00,92.80,93.40,-0.60,"1,259"
111/04/15,"1,729,984","160,368,272",93.20,93.60,92.40,92.50,-0.90,"2,261"
111/04/18,"1,371,572","126,184,385",91.90,92.60,91.80,91.80,-0.70,"2,319"
111/04/19,"1,521,673","140,377,099",92.30,92.80,92.00,92.20,+0.40,"1,275"
111/04/20,"2,643,385","244,951,495",92.20,93.40,91.80,92.70,+0.50,"3,097"
111/04/21,"1,506,959","140,048,320",93.40,93.70,92.40,92.40,-0.30,"1,954"
111/04/22,"1,817,195","166,711,250",91.70,92.30,91.50,92.00,-0.40,"2,249"
111/04/25,"4,184,971","376,594,073",91.20,91.30,89.20,90.10,-1.90,"3,938"
111/04/26,"1,881,358","169,477,986",89.80,90.80,89.50,89.70,-0.40,"2,163"
111/04/27,"3,105,141","276,787,322",89.50,90.00,88.60,89.10,-0.60,"2,560"
111/04/28,"2,706,014","240,723,564",88.60,89.50,88.60,89.20,+0.10,"2,664"
111/04/29,"2,884,922","261,851,854",88.30,92.50,88.30,91.60,+2.40,"2,595"
111/05/03,"1,244,583","112,430,604",91.60,91.80,89.80,90.20,-1.40,944
111/05/04,"712,033","64,344,607",90.50,91.10,90.10,90.20, 0.00,"1,291"
111/05/05,"2,021,013","185,303,463",91.20,92.20,91.00,91.90,+1.70,"2,473"
111/05/06,"2,902,924","263,110,652",89.70,91.50,89.60,91.20,-0.70,"2,980"
111/05/09,"2,627,318","236,399,848",89.20,91.20,89.10,90.40,-0.80,"2,080"
111/05/10,"1,654,198","149,562,191",90.10,91.30,89.70,90.10,-0.30,"2,012"
111/05/11,"1,857,564","167,125,416",89.50,90.50,89.40,90.20,+0.10,"1,310"
111/05/12,"1,841,587","164,344,970",90.20,90.50,88.60,88.70,-1.50,"2,622"
111/05/13,"2,091,518","188,652,305",89.90,90.90,89.30,90.50,+1.80,"1,150"
111/05/16,"1,240,065","113,369,180",91.70,92.00,90.80,91.30,+0.80,"1,613"
111/05/17,"2,258,479","208,133,791",91.50,92.80,91.40,92.20,+0.90,"2,276"
111/05/18,"3,775,588","352,619,788",91.20,94.30,91.20,93.80,+1.60,"3,819"
111/05/19,"2,106,253","194,640,977",92.50,93.00,91.60,92.70,-1.10,"2,388"
